instant,date,season,year,month,hour,holiday,workingday,weather,temp,atemp,hum,casual,registered,total,casual_day,registered_day,revenue_hour,revenue_day,total_rentals_hour,total_rentals_day
3307,2011-05-22,Summer,2011,May,16,0,0,Clear/Partly Cloudy,0.68,0.6364,0.61,72,201,273,1576,3084,963,411168,273,4660
3308,2011-05-22,Summer,2011,May,17,0,0,Clear/Partly Cloudy,0.7,0.6515,0.58,93,213,306,1576,3084,1104,411168,306,4660
3309,2011-05-22,Summer,2011,May,18,0,0,Clear/Partly Cloudy,0.66,0.6212,0.61,120,238,358,1576,3084,1314,411168,358,4660
3310,2011-05-22,Summer,2011,May,19,0,0,Clear/Partly Cloudy,0.66,0.6212,0.61,107,193,300,1576,3084,1114,411168,300,4660
3311,2011-05-22,Summer,2011,May,20,0,0,Clear/Partly Cloudy,0.64,0.6061,0.65,57,174,231,1576,3084,807,411168,231,4660
3312,2011-05-22,Summer,2011,May,21,0,0,Clear/Partly Cloudy,0.62,0.5909,0.73,27,109,136,1576,3084,462,411168,136,4660
3313,2011-05-22,Summer,2011,May,22,0,0,Clear/Partly Cloudy,0.6,0.5606,0.83,35,86,121,1576,3084,433,411168,121,4660
3314,2011-05-22,Summer,2011,May,23,0,0,Mist/Cloudy,0.58,0.5455,0.83,19,46,65,1576,3084,233,411168,65,4660
3315,2011-05-23,Summer,2011,May,0,0,1,Mist/Cloudy,0.56,0.5303,0.88,23,18,41,836,3438,169,347856,41,4274
3316,2011-05-23,Summer,2011,May,1,0,1,Clear/Partly Cloudy,0.56,0.5303,0.88,4,5,9,836,3438,35,347856,9,4274
3317,2011-05-23,Summer,2011,May,2,0,1,Light Snow/Rain,0.56,0.5303,0.88,2,3,5,836,3438,19,347856,5,4274
3318,2011-05-23,Summer,2011,May,3,0,1,Light Snow/Rain,0.54,0.5152,0.94,0,4,4,836,3438,12,347856,4,4274
3319,2011-05-23,Summer,2011,May,4,0,1,Mist/Cloudy,0.54,0.5152,0.94,2,2,4,836,3438,16,347856,4,4274
3320,2011-05-23,Summer,2011,May,5,0,1,Mist/Cloudy,0.54,0.5152,0.94,0,11,11,836,3438,33,347856,11,4274
3321,2011-05-23,Summer,2011,May,6,0,1,Mist/Cloudy,0.54,0.5152,1.0,4,92,96,836,3438,296,347856,96,4274
3322,2011-05-23,Summer,2011,May,7,0,1,Mist/Cloudy,0.56,0.5303,0.94,13,223,236,836,3438,734,347856,236,4274
3323,2011-05-23,Summer,2011,May,8,0,1,Clear/Partly Cloudy,0.6,0.5455,0.88,50,359,409,836,3438,1327,347856,409,4274
3324,2011-05-23,Summer,2011,May,9,0,1,Clear/Partly Cloudy,0.6,0.5455,0.88,36,131,167,836,3438,573,347856,167,4274
3325,2011-05-23,Summer,2011,May,10,0,1,Clear/Partly Cloudy,0.66,0.6212,0.74,49,72,121,836,3438,461,347856,121,4274
3326,2011-05-23,Summer,2011,May,11,0,1,Clear/Partly Cloudy,0.68,0.6364,0.69,73,107,180,836,3438,686,347856,180,4274
3327,2011-05-23,Summer,2011,May,12,0,1,Clear/Partly Cloudy,0.68,0.6364,0.69,65,139,204,836,3438,742,347856,204,4274
3328,2011-05-23,Summer,2011,May,13,0,1,Mist/Cloudy,0.74,0.6818,0.58,49,155,204,836,3438,710,347856,204,4274
3329,2011-05-23,Summer,2011,May,14,0,1,Mist/Cloudy,0.72,0.6818,0.62,57,130,187,836,3438,675,347856,187,4274
3330,2011-05-23,Summer,2011,May,15,0,1,Mist/Cloudy,0.72,0.6818,0.62,57,119,176,836,3438,642,347856,176,4274
3331,2011-05-23,Summer,2011,May,16,0,1,Mist/Cloudy,0.72,0.6818,0.62,56,223,279,836,3438,949,347856,279,4274
3332,2011-05-23,Summer,2011,May,17,0,1,Light Snow/Rain,0.72,0.6818,0.7,56,373,429,836,3438,1399,347856,429,4274
3333,2011-05-23,Summer,2011,May,18,0,1,Clear/Partly Cloudy,0.7,0.6667,0.74,68,385,453,836,3438,1495,347856,453,4274
3334,2011-05-23,Summer,2011,May,19,0,1,Clear/Partly Cloudy,0.7,0.6667,0.74,56,302,358,836,3438,1186,347856,358,4274
3335,2011-05-23,Summer,2011,May,20,0,1,Clear/Partly Cloudy,0.64,0.5758,0.83,39,271,310,836,3438,1008,347856,310,4274
3336,2011-05-23,Summer,2011,May,21,0,1,Clear/Partly Cloudy,0.64,0.5758,0.89,33,155,188,836,3438,630,347856,188,4274
3337,2011-05-23,Summer,2011,May,22,0,1,Clear/Partly Cloudy,0.62,0.5455,0.94,25,106,131,836,3438,443,347856,131,4274
3338,2011-05-23,Summer,2011,May,23,0,1,Mist/Cloudy,0.62,0.5606,0.88,19,53,72,836,3438,254,347856,72,4274
3339,2011-05-24,Summer,2011,May,0,0,1,Mist/Cloudy,0.6,0.5152,0.94,12,23,35,659,3833,129,355056,35,4492
3340,2011-05-24,Summer,2011,May,1,0,1,Mist/Cloudy,0.6,0.5152,0.94,6,9,15,659,3833,57,355056,15,4492
3341,2011-05-24,Summer,2011,May,2,0,1,Mist/Cloudy,0.6,0.5152,0.94,2,8,10,659,3833,34,355056,10,4492
3342,2011-05-24,Summer,2011,May,3,0,1,Mist/Cloudy,0.58,0.5455,0.94,0,2,2,659,3833,6,355056,2,4492
3343,2011-05-24,Summer,2011,May,4,0,1,Clear/Partly Cloudy,0.6,0.5455,0.88,1,3,4,659,3833,14,355056,4,4492
3344,2011-05-24,Summer,2011,May,5,0,1,Mist/Cloudy,0.58,0.5455,0.94,2,22,24,659,3833,76,355056,24,4492
3345,2011-05-24,Summer,2011,May,6,0,1,Mist/Cloudy,0.58,0.5455,0.94,10,102,112,659,3833,356,355056,112,4492
3346,2011-05-24,Summer,2011,May,7,0,1,Light Snow/Rain,0.64,0.5909,0.78,26,288,314,659,3833,994,355056,314,4492
3347,2011-05-24,Summer,2011,May,8,0,1,Light Snow/Rain,0.62,0.5758,0.83,31,403,434,659,3833,1364,355056,434,4492
3348,2011-05-24,Summer,2011,May,9,0,1,Mist/Cloudy,0.64,0.6061,0.73,27,111,138,659,3833,468,355056,138,4492
3349,2011-05-24,Summer,2011,May,10,0,1,Clear/Partly Cloudy,0.7,0.6515,0.61,18,90,108,659,3833,360,355056,108,4492
3350,2011-05-24,Summer,2011,May,11,0,1,Clear/Partly Cloudy,0.74,0.6667,0.51,33,142,175,659,3833,591,355056,175,4492
3351,2011-05-24,Summer,2011,May,12,0,1,Clear/Partly Cloudy,0.76,0.6818,0.45,41,129,170,659,3833,592,355056,170,4492
3352,2011-05-24,Summer,2011,May,13,0,1,Clear/Partly Cloudy,0.78,0.697,0.46,38,152,190,659,3833,646,355056,190,4492
3353,2011-05-24,Summer,2011,May,14,0,1,Clear/Partly Cloudy,0.78,0.697,0.46,27,126,153,659,3833,513,355056,153,4492
3354,2011-05-24,Summer,2011,May,15,0,1,Light Snow/Rain,0.74,0.6818,0.55,59,129,188,659,3833,682,355056,188,4492
3355,2011-05-24,Summer,2011,May,16,0,1,Clear/Partly Cloudy,0.66,0.6212,0.69,52,225,277,659,3833,935,355056,277,4492
3356,2011-05-24,Summer,2011,May,17,0,1,Clear/Partly Cloudy,0.7,0.6515,0.61,56,492,548,659,3833,1756,355056,548,4492
3357,2011-05-24,Summer,2011,May,18,0,1,Clear/Partly Cloudy,0.7,0.6515,0.7,74,490,564,659,3833,1840,355056,564,4492
3358,2011-05-24,Summer,2011,May,19,0,1,Clear/Partly Cloudy,0.66,0.6212,0.74,45,310,355,659,3833,1155,355056,355,4492
3359,2011-05-24,Summer,2011,May,20,0,1,Clear/Partly Cloudy,0.66,0.6212,0.74,39,241,280,659,3833,918,355056,280,4492
3360,2011-05-24,Summer,2011,May,21,0,1,Clear/Partly Cloudy,0.64,0.5909,0.78,21,168,189,659,3833,609,355056,189,4492
3361,2011-05-24,Summer,2011,May,22,0,1,Light Snow/Rain,0.62,0.5606,0.88,26,115,141,659,3833,475,355056,141,4492
3362,2011-05-24,Summer,2011,May,23,0,1,Light Snow/Rain,0.66,0.6212,0.74,13,53,66,659,3833,224,355056,66,4492
3363,2011-05-25,Summer,2011,May,0,0,1,Light Snow/Rain,0.6,0.5606,0.83,3,32,35,740,4238,111,393936,35,4978
3364,2011-05-25,Summer,2011,May,1,0,1,Light Snow/Rain,0.58,0.5455,0.83,6,2,8,740,4238,36,393936,8,4978
3365,2011-05-25,Summer,2011,May,2,0,1,Mist/Cloudy,0.56,0.5303,0.94,0,8,8,740,4238,24,393936,8,4978
3366,2011-05-25,Summer,2011,May,3,0,1,Clear/Partly Cloudy,0.54,0.5152,1.0,0,9,9,740,4238,27,393936,9,4978
3367,2011-05-25,Summer,2011,May,4,0,1,Clear/Partly Cloudy,0.54,0.5152,1.0,0,3,3,740,4238,9,393936,3,4978
3368,2011-05-25,Summer,2011,May,5,0,1,Clear/Partly Cloudy,0.56,0.5303,0.88,2,23,25,740,4238,79,393936,25,4978
3369,2011-05-25,Summer,2011,May,6,0,1,Clear/Partly Cloudy,0.56,0.5303,0.94,4,113,117,740,4238,359,393936,117,4978
3370,2011-05-25,Summer,2011,May,7,0,1,Clear/Partly Cloudy,0.62,0.5909,0.73,29,284,313,740,4238,997,393936,313,4978
3371,2011-05-25,Summer,2011,May,8,0,1,Clear/Partly Cloudy,0.64,0.6061,0.69,36,495,531,740,4238,1665,393936,531,4978
3372,2011-05-25,Summer,2011,May,9,0,1,Clear/Partly Cloudy,0.68,0.6364,0.65,27,207,234,740,4238,756,393936,234,4978
3373,2011-05-25,Summer,2011,May,10,0,1,Clear/Partly Cloudy,0.7,0.6515,0.61,30,105,135,740,4238,465,393936,135,4978
3374,2011-05-25,Summer,2011,May,11,0,1,Clear/Partly Cloudy,0.74,0.6667,0.51,36,104,140,740,4238,492,393936,140,4978
3375,2011-05-25,Summer,2011,May,12,0,1,Clear/Partly Cloudy,0.74,0.6818,0.55,32,178,210,740,4238,694,393936,210,4978
3376,2011-05-25,Summer,2011,May,13,0,1,Clear/Partly Cloudy,0.74,0.6818,0.55,39,163,202,740,4238,684,393936,202,4978
3377,2011-05-25,Summer,2011,May,14,0,1,Clear/Partly Cloudy,0.74,0.6818,0.55,47,121,168,740,4238,598,393936,168,4978
3378,2011-05-25,Summer,2011,May,15,0,1,Clear/Partly Cloudy,0.76,0.697,0.52,37,145,182,740,4238,620,393936,182,4978
3379,2011-05-25,Summer,2011,May,16,0,1,Clear/Partly Cloudy,0.74,0.6667,0.51,61,238,299,740,4238,1019,393936,299,4978
3380,2011-05-25,Summer,2011,May,17,0,1,Clear/Partly Cloudy,0.74,0.6667,0.51,77,524,601,740,4238,1957,393936,601,4978
3381,2011-05-25,Summer,2011,May,18,0,1,Clear/Partly Cloudy,0.72,0.6667,0.58,66,451,517,740,4238,1683,393936,517,4978
3382,2011-05-25,Summer,2011,May,19,0,1,Clear/Partly Cloudy,0.7,0.6515,0.61,73,332,405,740,4238,1361,393936,405,4978
3383,2011-05-25,Summer,2011,May,20,0,1,Clear/Partly Cloudy,0.7,0.6515,0.61,56,284,340,740,4238,1132,393936,340,4978
3384,2011-05-25,Summer,2011,May,21,0,1,Clear/Partly Cloudy,0.66,0.6212,0.69,33,203,236,740,4238,774,393936,236,4978
3385,2011-05-25,Summer,2011,May,22,0,1,Clear/Partly Cloudy,0.66,0.6212,0.69,34,140,174,740,4238,590,393936,174,4978
3386,2011-05-25,Summer,2011,May,23,0,1,Clear/Partly Cloudy,0.64,0.6061,0.73,12,74,86,740,4238,282,393936,86,4978
3387,2011-05-26,Summer,2011,May,0,0,1,Clear/Partly Cloudy,0.64,0.6061,0.73,11,34,45,758,3919,157,373128,45,4677
3388,2011-05-26,Summer,2011,May,1,0,1,Clear/Partly Cloudy,0.64,0.6061,0.73,3,13,16,758,3919,54,373128,16,4677
3389,2011-05-26,Summer,2011,May,2,0,1,Clear/Partly Cloudy,0.62,0.5758,0.83,7,7,14,758,3919,56,373128,14,4677
3390,2011-05-26,Summer,2011,May,3,0,1,Clear/Partly Cloudy,0.6,0.5455,0.88,0,4,4,758,3919,12,373128,4,4677
3391,2011-05-26,Summer,2011,May,4,0,1,Clear/Partly Cloudy,0.6,0.5455,0.88,0,2,2,758,3919,6,373128,2,4677
3392,2011-05-26,Summer,2011,May,5,0,1,Mist/Cloudy,0.6,0.5455,0.88,2,25,27,758,3919,85,373128,27,4677
3393,2011-05-26,Summer,2011,May,6,0,1,Mist/Cloudy,0.6,0.5,1.0,4,94,98,758,3919,302,373128,98,4677
3394,2011-05-26,Summer,2011,May,7,0,1,Mist/Cloudy,0.62,0.5455,0.94,16,270,286,758,3919,890,373128,286,4677
3395,2011-05-26,Summer,2011,May,8,0,1,Mist/Cloudy,0.66,0.6061,0.83,31,458,489,758,3919,1529,373128,489,4677
3396,2011-05-26,Summer,2011,May,9,0,1,Clear/Partly Cloudy,0.72,0.6818,0.7,22,194,216,758,3919,692,373128,216,4677
3397,2011-05-26,Summer,2011,May,10,0,1,Clear/Partly Cloudy,0.7,0.6667,0.74,49,94,143,758,3919,527,373128,143,4677
3398,2011-05-26,Summer,2011,May,11,0,1,Clear/Partly Cloudy,0.74,0.697,0.66,36,124,160,758,3919,552,373128,160,4677
3399,2011-05-26,Summer,2011,May,12,0,1,Clear/Partly Cloudy,0.78,0.7424,0.59,53,141,194,758,3919,688,373128,194,4677
3400,2011-05-26,Summer,2011,May,13,0,1,Clear/Partly Cloudy,0.82,0.7727,0.52,52,145,197,758,3919,695,373128,197,4677
3401,2011-05-26,Summer,2011,May,14,0,1,Clear/Partly Cloudy,0.82,0.7727,0.52,44,145,189,758,3919,655,373128,189,4677
3402,2011-05-26,Summer,2011,May,15,0,1,Mist/Cloudy,0.82,0.7576,0.46,40,101,141,758,3919,503,373128,141,4677
3403,2011-05-26,Summer,2011,May,16,0,1,Mist/Cloudy,0.8,0.7424,0.49,58,233,291,758,3919,989,373128,291,4677
3404,2011-05-26,Summer,2011,May,17,0,1,Clear/Partly Cloudy,0.8,0.7273,0.46,49,445,494,758,3919,1580,373128,494,4677
3405,2011-05-26,Summer,2011,May,18,0,1,Clear/Partly Cloudy,0.8,0.7273,0.46,74,404,478,758,3919,1582,373128,478,4677
3406,2011-05-26,Summer,2011,May,19,0,1,Clear/Partly Cloudy,0.78,0.697,0.46,67,311,378,758,3919,1268,373128,378,4677
3407,2011-05-26,Summer,2011,May,20,0,1,Clear/Partly Cloudy,0.72,0.6667,0.58,55,267,322,758,3919,1076,373128,322,4677
3408,2011-05-26,Summer,2011,May,21,0,1,Clear/Partly Cloudy,0.72,0.6818,0.62,45,178,223,758,3919,759,373128,223,4677
3409,2011-05-26,Summer,2011,May,22,0,1,Clear/Partly Cloudy,0.7,0.6515,0.65,23,157,180,758,3919,586,373128,180,4677
3410,2011-05-26,Summer,2011,May,23,0,1,Clear/Partly Cloudy,0.7,0.6515,0.65,17,73,90,758,3919,304,373128,90,4677
3411,2011-05-27,Summer,2011,May,0,0,1,Clear/Partly Cloudy,0.68,0.6364,0.69,14,55,69,871,3808,235,378696,69,4679
3412,2011-05-27,Summer,2011,May,1,0,1,Clear/Partly Cloudy,0.7,0.6515,0.58,14,36,50,871,3808,178,378696,50,4679
3413,2011-05-27,Summer,2011,May,2,0,1,Clear/Partly Cloudy,0.68,0.6364,0.61,6,12,18,871,3808,66,378696,18,4679
3414,2011-05-27,Summer,2011,May,3,0,1,Clear/Partly Cloudy,0.66,0.6212,0.65,1,11,12,871,3808,38,378696,12,4679
3415,2011-05-27,Summer,2011,May,4,0,1,Clear/Partly Cloudy,0.64,0.6061,0.69,2,5,7,871,3808,25,378696,7,4679
3416,2011-05-27,Summer,2011,May,5,0,1,Clear/Partly Cloudy,0.64,0.6061,0.65,2,29,31,871,3808,97,378696,31,4679
3417,2011-05-27,Summer,2011,May,6,0,1,Clear/Partly Cloudy,0.64,0.6061,0.69,8,73,81,871,3808,259,378696,81,4679
3418,2011-05-27,Summer,2011,May,7,0,1,Clear/Partly Cloudy,0.64,0.6061,0.73,20,229,249,871,3808,787,378696,249,4679
3419,2011-05-27,Summer,2011,May,8,0,1,Clear/Partly Cloudy,0.66,0.6212,0.74,25,393,418,871,3808,1304,378696,418,4679
3420,2011-05-27,Summer,2011,May,9,0,1,Clear/Partly Cloudy,0.7,0.6515,0.65,37,190,227,871,3808,755,378696,227,4679
3421,2011-05-27,Summer,2011,May,10,0,1,Clear/Partly Cloudy,0.72,0.6667,0.54,42,111,153,871,3808,543,378696,153,4679
3422,2011-05-27,Summer,2011,May,11,0,1,Mist/Cloudy,0.74,0.6818,0.55,40,126,166,871,3808,578,378696,166,4679
3423,2011-05-27,Summer,2011,May,12,0,1,Mist/Cloudy,0.76,0.697,0.55,53,190,243,871,3808,835,378696,243,4679
3424,2011-05-27,Summer,2011,May,13,0,1,Clear/Partly Cloudy,0.74,0.6818,0.58,51,158,209,871,3808,729,378696,209,4679
3425,2011-05-27,Summer,2011,May,14,0,1,Clear/Partly Cloudy,0.76,0.697,0.55,51,188,239,871,3808,819,378696,239,4679
3426,2011-05-27,Summer,2011,May,15,0,1,Clear/Partly Cloudy,0.78,0.7121,0.49,98,258,356,871,3808,1264,378696,356,4679
3427,2011-05-27,Summer,2011,May,16,0,1,Mist/Cloudy,0.76,0.697,0.55,63,356,419,871,3808,1383,378696,419,4679
3428,2011-05-27,Summer,2011,May,17,0,1,Clear/Partly Cloudy,0.74,0.6818,0.58,77,414,491,871,3808,1627,378696,491,4679
3429,2011-05-27,Summer,2011,May,18,0,1,Mist/Cloudy,0.72,0.6818,0.62,89,310,399,871,3808,1375,378696,399,4679
3430,2011-05-27,Summer,2011,May,19,0,1,Light Snow/Rain,0.6,0.5758,0.78,69,210,279,871,3808,975,378696,279,4679
3431,2011-05-27,Summer,2011,May,20,0,1,Mist/Cloudy,0.62,0.5909,0.73,24,120,144,871,3808,480,378696,144,4679
3432,2011-05-27,Summer,2011,May,21,0,1,Clear/Partly Cloudy,0.6,0.5606,0.83,37,114,151,871,3808,527,378696,151,4679
3433,2011-05-27,Summer,2011,May,22,0,1,Clear/Partly Cloudy,0.6,0.5758,0.78,25,116,141,871,3808,473,378696,141,4679
3434,2011-05-27,Summer,2011,May,23,0,1,Clear/Partly Cloudy,0.58,0.5455,0.88,23,104,127,871,3808,427,378696,127,4679
3435,2011-05-28,Summer,2011,May,0,0,0,Clear/Partly Cloudy,0.58,0.5455,0.88,15,79,94,2001,2757,312,438624,94,4758
3436,2011-05-28,Summer,2011,May,1,0,0,Clear/Partly Cloudy,0.58,0.5455,0.88,8,47,55,2001,2757,181,438624,55,4758
3437,2011-05-28,Summer,2011,May,2,0,0,Clear/Partly Cloudy,0.56,0.5303,0.94,13,35,48,2001,2757,170,438624,48,4758
3438,2011-05-28,Summer,2011,May,3,0,0,Clear/Partly Cloudy,0.56,0.5303,0.88,2,13,15,2001,2757,49,438624,15,4758
3439,2011-05-28,Summer,2011,May,4,0,0,Clear/Partly Cloudy,0.56,0.5303,0.88,0,4,4,2001,2757,12,438624,4,4758
3440,2011-05-28,Summer,2011,May,5,0,0,Clear/Partly Cloudy,0.56,0.5303,0.88,4,3,7,2001,2757,29,438624,7,4758
3441,2011-05-28,Summer,2011,May,6,0,0,Clear/Partly Cloudy,0.58,0.5455,0.83,3,16,19,2001,2757,63,438624,19,4758
3442,2011-05-28,Summer,2011,May,7,0,0,Clear/Partly Cloudy,0.6,0.5606,0.83,17,33,50,2001,2757,184,438624,50,4758
3443,2011-05-28,Summer,2011,May,8,0,0,Clear/Partly Cloudy,0.62,0.5909,0.78,27,75,102,2001,2757,360,438624,102,4758
3444,2011-05-28,Summer,2011,May,9,0,0,Clear/Partly Cloudy,0.64,0.6061,0.73,61,116,177,2001,2757,653,438624,177,4758
3445,2011-05-28,Summer,2011,May,10,0,0,Clear/Partly Cloudy,0.7,0.6515,0.65,110,166,276,2001,2757,1048,438624,276,4758
3446,2011-05-28,Summer,2011,May,11,0,0,Clear/Partly Cloudy,0.7,0.6515,0.65,171,178,349,2001,2757,1389,438624,349,4758
3447,2011-05-28,Summer,2011,May,12,0,0,Clear/Partly Cloudy,0.72,0.6667,0.58,145,213,358,2001,2757,1364,438624,358,4758
3448,2011-05-28,Summer,2011,May,13,0,0,Clear/Partly Cloudy,0.72,0.6818,0.62,168,217,385,2001,2757,1491,438624,385,4758
3449,2011-05-28,Summer,2011,May,14,0,0,Clear/Partly Cloudy,0.74,0.6818,0.58,172,210,382,2001,2757,1490,438624,382,4758
3450,2011-05-28,Summer,2011,May,15,0,0,Clear/Partly Cloudy,0.74,0.6818,0.55,187,187,374,2001,2757,1496,438624,374,4758
3451,2011-05-28,Summer,2011,May,16,0,0,Clear/Partly Cloudy,0.76,0.697,0.55,201,201,402,2001,2757,1608,438624,402,4758
3452,2011-05-28,Summer,2011,May,17,0,0,Clear/Partly Cloudy,0.74,0.6818,0.55,180,161,341,2001,2757,1383,438624,341,4758
3453,2011-05-28,Summer,2011,May,18,0,0,Clear/Partly Cloudy,0.72,0.6818,0.62,173,212,385,2001,2757,1501,438624,385,4758
3454,2011-05-28,Summer,2011,May,19,0,0,Clear/Partly Cloudy,0.7,0.6515,0.65,99,153,252,2001,2757,954,438624,252,4758
3455,2011-05-28,Summer,2011,May,20,0,0,Clear/Partly Cloudy,0.7,0.6515,0.65,68,128,196,2001,2757,724,438624,196,4758
3456,2011-05-28,Summer,2011,May,21,0,0,Clear/Partly Cloudy,0.66,0.6212,0.74,87,114,201,2001,2757,777,438624,201,4758
3457,2011-05-28,Summer,2011,May,22,0,0,Clear/Partly Cloudy,0.66,0.6061,0.78,46,115,161,2001,2757,575,438624,161,4758
3458,2011-05-28,Summer,2011,May,23,0,0,Clear/Partly Cloudy,0.64,0.5758,0.83,44,81,125,2001,2757,463,438624,125,4758
3459,2011-05-29,Summer,2011,May,0,0,0,Clear/Partly Cloudy,0.64,0.5758,0.83,32,51,83,2355,2433,313,457776,83,4788
3460,2011-05-29,Summer,2011,May,1,0,0,Clear/Partly Cloudy,0.62,0.5606,0.88,17,49,66,2355,2433,232,457776,66,4788
3461,2011-05-29,Summer,2011,May,2,0,0,Clear/Partly Cloudy,0.62,0.5606,0.88,12,49,61,2355,2433,207,457776,61,4788
3462,2011-05-29,Summer,2011,May,3,0,0,Clear/Partly Cloudy,0.62,0.5606,0.88,2,24,26,2355,2433,82,457776,26,4788
3463,2011-05-29,Summer,2011,May,4,0,0,Clear/Partly Cloudy,0.6,0.5455,0.88,13,10,23,2355,2433,95,457776,23,4788
3464,2011-05-29,Summer,2011,May,5,0,0,Clear/Partly Cloudy,0.6,0.5152,0.94,3,3,6,2355,2433,24,457776,6,4788
3465,2011-05-29,Summer,2011,May,6,0,0,Mist/Cloudy,0.62,0.5606,0.88,5,10,15,2355,2433,55,457776,15,4788
3466,2011-05-29,Summer,2011,May,7,0,0,Mist/Cloudy,0.62,0.5606,0.88,13,17,30,2355,2433,116,457776,30,4788
3467,2011-05-29,Summer,2011,May,8,0,0,Mist/Cloudy,0.62,0.5606,0.88,34,62,96,2355,2433,356,457776,96,4788
3468,2011-05-29,Summer,2011,May,9,0,0,Mist/Cloudy,0.62,0.5455,0.94,74,78,152,2355,2433,604,457776,152,4788
3469,2011-05-29,Summer,2011,May,10,0,0,Mist/Cloudy,0.66,0.6061,0.83,130,121,251,2355,2433,1013,457776,251,4788
3470,2011-05-29,Summer,2011,May,11,0,0,Mist/Cloudy,0.66,0.6061,0.83,139,180,319,2355,2433,1235,457776,319,4788
3471,2011-05-29,Summer,2011,May,12,0,0,Mist/Cloudy,0.7,0.6667,0.74,216,186,402,2355,2433,1638,457776,402,4788
3472,2011-05-29,Summer,2011,May,13,0,0,Clear/Partly Cloudy,0.72,0.6818,0.7,237,181,418,2355,2433,1728,457776,418,4788
3473,2011-05-29,Summer,2011,May,14,0,0,Clear/Partly Cloudy,0.74,0.697,0.7,183,168,351,2355,2433,1419,457776,351,4788
3474,2011-05-29,Summer,2011,May,15,0,0,Clear/Partly Cloudy,0.74,0.697,0.7,221,155,376,2355,2433,1570,457776,376,4788
3475,2011-05-29,Summer,2011,May,16,0,0,Clear/Partly Cloudy,0.74,0.697,0.7,194,167,361,2355,2433,1471,457776,361,4788
3476,2011-05-29,Summer,2011,May,17,0,0,Clear/Partly Cloudy,0.74,0.697,0.7,214,169,383,2355,2433,1577,457776,383,4788
3477,2011-05-29,Summer,2011,May,18,0,0,Clear/Partly Cloudy,0.72,0.697,0.74,151,177,328,2355,2433,1286,457776,328,4788
3478,2011-05-29,Summer,2011,May,19,0,0,Clear/Partly Cloudy,0.72,0.697,0.74,141,146,287,2355,2433,1143,457776,287,4788
3479,2011-05-29,Summer,2011,May,20,0,0,Clear/Partly Cloudy,0.7,0.6667,0.79,91,128,219,2355,2433,839,457776,219,4788
3480,2011-05-29,Summer,2011,May,21,0,0,Clear/Partly Cloudy,0.68,0.6364,0.83,107,122,229,2355,2433,901,457776,229,4788
3481,2011-05-29,Summer,2011,May,22,0,0,Clear/Partly Cloudy,0.66,0.5909,0.89,78,93,171,2355,2433,669,457776,171,4788
3482,2011-05-29,Summer,2011,May,23,0,0,Clear/Partly Cloudy,0.66,0.5909,0.89,48,87,135,2355,2433,501,457776,135,4788
3483,2011-05-30,Summer,2011,May,0,1,0,Clear/Partly Cloudy,0.64,0.5606,0.94,38,65,103,1549,2549,385,369408,103,4098
3484,2011-05-30,Summer,2011,May,1,1,0,Clear/Partly Cloudy,0.64,0.5606,0.94,26,53,79,1549,2549,289,369408,79,4098
3485,2011-05-30,Summer,2011,May,2,1,0,Clear/Partly Cloudy,0.64,0.5606,0.94,17,28,45,1549,2549,169,369408,45,4098
3486,2011-05-30,Summer,2011,May,3,1,0,Clear/Partly Cloudy,0.64,0.5606,0.94,10,8,18,1549,2549,74,369408,18,4098
3487,2011-05-30,Summer,2011,May,4,1,0,Clear/Partly Cloudy,0.62,0.5455,0.94,2,4,6,1549,2549,22,369408,6,4098
3488,2011-05-30,Summer,2011,May,5,1,0,Mist/Cloudy,0.62,0.5455,0.94,1,6,7,1549,2549,23,369408,7,4098
3489,2011-05-30,Summer,2011,May,6,1,0,Mist/Cloudy,0.64,0.5606,0.94,6,10,16,1549,2549,60,369408,16,4098
3490,2011-05-30,Summer,2011,May,7,1,0,Mist/Cloudy,0.64,0.5606,0.94,12,19,31,1549,2549,117,369408,31,4098
3491,2011-05-30,Summer,2011,May,8,1,0,Mist/Cloudy,0.66,0.5909,0.89,36,58,94,1549,2549,354,369408,94,4098
3492,2011-05-30,Summer,2011,May,9,1,0,Clear/Partly Cloudy,0.72,0.697,0.74,47,81,128,1549,2549,478,369408,128,4098
3493,2011-05-30,Summer,2011,May,10,1,0,Clear/Partly Cloudy,0.8,0.7576,0.55,116,153,269,1549,2549,1039,369408,269,4098
3494,2011-05-30,Summer,2011,May,11,1,0,Clear/Partly Cloudy,0.82,0.7727,0.52,153,168,321,1549,2549,1269,369408,321,4098
3495,2011-05-30,Summer,2011,May,12,1,0,Clear/Partly Cloudy,0.86,0.803,0.47,179,187,366,1549,2549,1456,369408,366,4098
3496,2011-05-30,Summer,2011,May,13,1,0,Clear/Partly Cloudy,0.86,0.7879,0.44,133,217,350,1549,2549,1316,369408,350,4098
3497,2011-05-30,Summer,2011,May,14,1,0,Clear/Partly Cloudy,0.88,0.803,0.39,142,185,327,1549,2549,1265,369408,327,4098
3498,2011-05-30,Summer,2011,May,15,1,0,Clear/Partly Cloudy,0.88,0.803,0.39,132,179,311,1549,2549,1197,369408,311,4098
3499,2011-05-30,Summer,2011,May,16,1,0,Clear/Partly Cloudy,0.88,0.7879,0.37,101,208,309,1549,2549,1129,369408,309,4098
